,Tube_ID,row_counter,Lake_name,Invasion_category,Sample_type,Sample_origin,Collected_year,Collected_month_number,Littoral_zoobenthic_macroinvert_community_sample,Transect,Lat,Long,Sample_depth,Total_count,Vial_count,Functional_feeding_group,Method_of_take,real.name,Functional_group,Common_name,Scientific_name,Total_length_mm,Weight_g,Tube_box,Tube_size_ml,Preservative,Isotope_sample_weight_mg,Davis_ID_long,d13C,Total.C..µg.,d15N,Total.N..µg.,Type.of.Material,Sample.Weight..mg..from.Sample.List,Internal.ID,Lake_max_depth_m,Lake_surface_elev_m,Current_conversion,Secchi_m,Surface_area_ha,n,d13C_baseline,d13C_base_se,d15N_baseline,d15N_base_se,d13C_corr,d15N_corr,Lake_elevation,Lake_area,Lake_depth,Collected_date,Collected_month_name_long,Collected_month_name_short,Collected_time,Depth,Total._count,Remove.from.case,Approx.weight.of.tube..g.,Notes1,Notes2,Wet.weight.tube..g.,In_oven_date,Oven_temp_C,Test1.date,Test1.weight.tube..g.,Test2.date,Test2.weight.tube..g.,Daily.change,Test.3.date,Test.3.weight..g.,Daily.change.1,Out_oven_date,Dry_time_h,Est.pre.powder.dry.sample.in.tube..g.,Est...isotope.samples.in.tube,Powder.complete.date,Post.powder.Powder.tube.weight..g.,Powder.lost..g.,Powder.available.for.isotope.caps..g.,Est.number.of.isotope.caps.possible.from.powder,Cell.well.tray,Mixed.sample..Y.N,Count.of.individuals,Weight.of.individual,Mixed.with.which.tube.,Powder.weight.contributed..mg.,Empty.,Well_Row,Well_Column,Isotope_sample_ID_.year.tray.x.y.,Isotope_sample_complete_date
1574,SACO,955,McDonald,Late,Fish,Autochthonous,2019,7,NO,NA,48.608001,-113.884376,NA,1,1,NA,Electrofisher,Redside shiner,Littoral forage fish,Redside shiner,Richardsonius balteatus,46,0.8,2019-SA,1.5,Ethanol,1.017,QUEBEC-D-09,-25.64,466.64,5.68,139.54,Fish,1.017,1669387,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,-1.204375,5.0125,961,2760,144,7/17/2019,July,Jul,NA,NA,1,NA,NA,,,,8/27/2019 14:45,60,,,,NA,,,NA,,8/30/2019 15:00,72,,,,NA,,NA,NA,2019-SEP-04-001,N,,,NA,1.017,N,H,10,2019-SEP-04-001-H-10,9/7/2019
1575,SACU,980,McDonald,Late,Fish,Autochthonous,2019,7,NO,NA,48.608001,-113.884376,NA,1,1,NA,Electrofisher,Redside shiner,Littoral forage fish,Redside shiner,Richardsonius balteatus,46,1,2019-SA,1.5,Ethanol,0.91,QUEBEC-D-07,-26.5,432.94,6.87,119.3,Fish,0.91,1669385,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,-2.064375,6.2025,961,2760,144,7/17/2019,July,Jul,NA,NA,1,NA,NA,,,,8/27/2019 14:45,60,,,,NA,,,NA,,8/30/2019 15:00,72,,,,NA,,NA,NA,2019-SEP-04-001,N,,,NA,0.91,N,H,9,2019-SEP-04-001-H-9,9/7/2019
1576,SACX,874,McDonald,Late,Fish,Autochthonous,2019,7,NO,NA,48.546082,-113.982167,NA,1,1,NA,Electrofisher,Slimy sculpin,Generalist fish,Slimy sculpin,Cottus cognatus,42,1.3,2019-SA,1.5,Ethanol,1.078,QUEBEC-H-03,-26.69,517.06,7.92,133.3,Fish,1.078,1669429,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,-2.254375,7.2525,961,2760,144,7/21/2019,July,Jul,NA,NA,1,NA,NA,,,,8/27/2019 14:45,60,,,,NA,,,NA,,8/30/2019 15:00,72,,,,NA,,NA,NA,2019-SEP-07-001,N,,,NA,1.078,N,C,4,2019-SEP-07-001-C-4,9/7/2019
1577,SACY,979,McDonald,Late,Fish,Autochthonous,2019,7,NO,NA,48.608001,-113.884376,NA,1,1,NA,Electrofisher,Redside shiner,Littoral forage fish,Redside shiner,Richardsonius balteatus,46,0.8,2019-SA,1.5,Ethanol,0.931,QUEBEC-D-06,-26.01,372.76,6,114.5,Fish,0.931,1669384,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,-1.574375,5.3325,961,2760,144,7/17/2019,July,Jul,NA,NA,1,NA,NA,,,,8/27/2019 14:45,60,,,,NA,,,NA,,8/30/2019 15:00,72,,,,NA,,NA,NA,2019-SEP-04-001,N,,,NA,0.931,N,H,3,2019-SEP-04-001-H-3,9/7/2019
1578,SAD,1140,Quartz,Mid,Invertebrate,Autochthonous,2018,9,YES,7,48.819477,-114.121128,0.5,1,1,Engulfer-predator,D-net,Sialidae,Littoral forage Invertebrate,Alderfly,Sialidae,NA,NA,2018-S,1.5,Ethanol,1.049,GOLF-A-08,-20.21,488.47,3.51,137.92,Invertebrate,1.049,1668390,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,3.208,2.458666667,1345,352,84,9/22/2018,September,Sep,NA,0.5,1,NA,0.9862,,,2.262,11/6/2018 15:15,60,11/7/2018 17:44,1.086,11/8/2018 16:05,1.086,0.00%,11/9/2018 15:51,1.086,0.00%,11/9/2018 15:51,73,0.0998,99.8,1/19/2019,NA,#REF!,-0.9862,-986.2,2019-JAN-19-017,N,,,NA,1.049,Y,C,5,2019-JAN-19-017-C-5,1/19/2019
1579,SADE,960,McDonald,Late,Fish,Autochthonous,2019,7,NO,NA,48.546082,-113.982167,NA,1,1,NA,Electrofisher,Slimy sculpin,Generalist fish,Slimy sculpin,Cottus cognatus,43,1.8,2019-SA,1.5,Ethanol,0.919,QUEBEC-H-01,-24.45,464.25,6.08,117.06,Fish,0.919,1669427,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,-0.014375,5.4125,961,2760,144,7/21/2019,July,Jul,NA,NA,1,NA,NA,,,,8/27/2019 14:45,60,,,,NA,,,NA,,8/30/2019 15:00,72,,,,NA,,NA,NA,2019-SEP-07-001,N,,,NA,0.919,N,C,6,2019-SEP-07-001-C-6,9/7/2019
1580,SADF,882,McDonald,Late,Fish,Autochthonous,2019,7,NO,NA,48.546082,-113.982167,NA,1,1,NA,Electrofisher,Slimy sculpin,Generalist fish,Slimy sculpin,Cottus cognatus,43,1.5,2019-SA,1.5,Ethanol,1.037,QUEBEC-H-02,-21.43,522.52,6.22,133.3,Fish,1.037,1669428,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,3.005625,5.5525,961,2760,144,7/21/2019,July,Jul,NA,NA,1,NA,NA,,,,8/27/2019 14:45,60,,,,NA,,,NA,,8/30/2019 15:00,72,,,,NA,,NA,NA,2019-SEP-07-001,N,,,NA,1.037,N,C,10,2019-SEP-07-001-C-10,9/7/2019
1581,SADI,875,McDonald,Late,Fish,Autochthonous,2019,7,NO,NA,48.608001,-113.884376,NA,1,1,NA,Electrofisher,Slimy sculpin,Generalist fish,Slimy sculpin,Cottus cognatus,51,1.8,2019-SA,1.5,Ethanol,0.908,QUEBEC-G-12,-23.52,363.12,6.41,101.01,Fish,0.908,1669426,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,0.915625,5.7425,961,2760,144,7/21/2019,July,Jul,NA,NA,1,NA,NA,,,,8/27/2019 14:45,60,,,,NA,,,NA,,8/30/2019 15:00,72,,,,NA,,NA,NA,2019-SEP-07-001,N,,,NA,0.908,N,B,12,2019-SEP-07-001-B-12,9/7/2019
1582,SADK,911,McDonald,Late,Fish,Autochthonous,2019,7,NO,NA,48.546082,-113.982167,NA,1,1,NA,Electrofisher,Brook trout,Littoral forage fish,Brook trout,Salvelinus fontinalis,172,55.1,2019-SA,1.5,Ethanol,0.971,QUEBEC-H-04,-24.27,451.52,7.53,146.07,Fish,0.971,1669430,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,0.165625,6.8625,961,2760,144,7/21/2019,July,Jul,NA,NA,1,NA,NA,,,,8/27/2019 14:45,60,,,,NA,,,NA,,8/30/2019 15:00,72,,,,NA,,NA,NA,2019-SEP-07-001,N,,,NA,0.971,N,B,3,2019-SEP-07-001-B-3,9/7/2019
1583,SADM,864,McDonald,Late,Fish,Autochthonous,2019,7,NO,NA,48.608001,-113.884376,NA,1,1,NA,Electrofisher,Slimy sculpin,Generalist fish,Slimy sculpin,Cottus cognatus,53,2.7,2019-SA,1.5,Ethanol,1.049,QUEBEC-G-11,-22.66,478.11,6.11,148.93,Fish,1.049,1669425,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,1.775625,5.4425,961,2760,144,7/21/2019,July,Jul,NA,NA,1,NA,NA,,,,8/27/2019 14:45,60,,,,NA,,,NA,,8/30/2019 15:00,72,,,,NA,,NA,NA,2019-SEP-07-001,N,,,NA,1.049,N,C,3,2019-SEP-07-001-C-3,9/7/2019
1584,SADN,974,McDonald,Late,Fish,Autochthonous,2019,7,NO,NA,48.608001,-113.884376,NA,1,1,NA,Electrofisher,Redside shiner,Littoral forage fish,Redside shiner,Richardsonius balteatus,50,1.2,2019-SA,1.5,Ethanol,1,QUEBEC-D-05,-22.66,468.41,7.23,136.01,Fish,1,1669383,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,1.775625,6.5625,961,2760,144,7/17/2019,July,Jul,NA,NA,1,NA,NA,,,,8/27/2019 14:45,60,,,,NA,,,NA,,8/30/2019 15:00,72,,,,NA,,NA,NA,2019-SEP-04-001,N,,,NA,1,N,H,5,2019-SEP-04-001-H-5,9/7/2019
1585,SAI,1094,Quartz,Mid,Invertebrate,Allochthonous,2018,9,NO,7,48.819477,-114.121128,0.5,1,1,NA,D-net,Lepidoptera,Allochthonous forage Invertebrate,Moth,Lepidoptera,NA,NA,2018-S,1.5,Water,0.914,FOXTROT-D-11,-29.66,479.95,0,110.67,Plant,0.914,1668333,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,-6.242,-1.051333333,1345,352,84,9/22/2018,September,Sep,NA,0.5,1,NA,0.9862,Allochthonous animal,,2.313,11/6/2018 15:15,60,11/7/2018 17:44,1.076,11/8/2018 16:05,1.076,0.00%,11/9/2018 15:51,1.076,0.00%,11/9/2018 15:51,73,0.0898,8.98,1/19/2019,NA,#REF!,-0.9862,-98.62,2019-JAN-19-016,N,,,NA,0.914,N,C,7,2019-JAN-19-016-C-7,1/19/2019
1586,SBD,1139,Quartz,Mid,Invertebrate,Autochthonous,2018,9,YES,6,48.82623,-114.118757,0.5,2,2,Collector-filterer-engulfer-predator,D-net,Polycentropodidae,Littoral forage Invertebrate,Trumpetnet caddisfly,Polycentropodidae,NA,NA,2018-S,1.5,Ethanol,1.087,GOLF-A-07,-23.87,527.47,1.23,119.87,Invertebrate,1.087,1668389,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,-0.452,0.178666667,1345,352,84,9/22/2018,September,Sep,NA,0.5,2,NA,0.9862,,,2.192,11/6/2018 15:15,60,11/7/2018 17:44,1.085,11/8/2018 16:05,1.085,0.00%,11/9/2018 15:51,1.085,0.00%,11/9/2018 15:51,73,0.0988,98.8,1/19/2019,NA,#REF!,-0.9862,-986.2,2019-JAN-19-017,N,,,NA,1.087,Y,C,2,2019-JAN-19-017-C-2,1/19/2019
1587,SCA,1093,Quartz,Mid,Invertebrate,Autochthonous,2018,9,YES,5,48.826675,-114.125345,0.5,4,4,Scraper-collector-gatherer,D-net,Heptageniidae,Littoral forage Invertebrate,Flatheaded mayfly,Heptageniidae,NA,NA,2018-S,1.5,Ethanol,1.1,FOXTROT-D-10,-22.88,544.97,1.57,139.61,Invertebrate,1.1,1668332,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,0.538,0.518666667,1345,352,84,9/22/2018,September,Sep,NA,0.5,4,NA,0.9862,,,2.268,11/6/2018 15:15,60,11/7/2018 17:44,1.039,11/8/2018 16:05,1.039,0.00%,11/9/2018 15:51,1.039,0.00%,11/9/2018 15:51,73,0.0528,52.8,1/19/2019,NA,#REF!,-0.9862,-986.2,2019-JAN-19-016,N,,,NA,1.1,Y,F,11,2019-JAN-19-016-F-11,1/19/2019
1588,SDC,1138,Quartz,Mid,Invertebrate,Autochthonous,2018,9,YES,4,48.846751,-114.064505,1,1,1,Scraper-collector-gatherer,D-net,Planorbidae,Littoral forage Invertebrate,Planorbid snail,Planorbidae,NA,NA,2018-S,1.5,Ethanol,0.23,GOLF-A-06,-23.05,85.45,0.67,18.15,Invertebrate,0.23,1668388,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,0.368,-0.381333333,1345,352,84,9/22/2018,September,Sep,NA,1,1,DONE 11/6/18,0.9862,,,2.141,11/6/2018 15:15,60,11/7/2018 17:44,1.064,11/8/2018 16:05,1.064,0.00%,11/9/2018 15:51,1.064,0.00%,11/9/2018 15:51,73,0.0778,77.8,1/19/2019,NA,#REF!,-0.9862,-986.2,2019-JAN-19-017,Y,,,"SDC, SBM",0.194,Y,C,1,2019-JAN-19-017-C-1,1/19/2019
1589,SDM,1137,Quartz,Mid,Invertebrate,Autochthonous,2018,9,YES,3,48.848718,-114.065645,0.5,1,1,Engulfer-predator,D-net,Sialidae,Littoral forage Invertebrate,Alderfly,Sialidae,NA,NA,2018-S,1.5,Ethanol,0.992,GOLF-A-03,-23.1,444.51,2.22,109.35,Invertebrate,0.992,1668385,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,0.318,1.168666667,1345,352,84,9/22/2018,September,Sep,NA,0.5,1,NA,0.9862,,,1.921,11/6/2018 15:15,60,11/7/2018 17:44,1.064,11/8/2018 16:05,1.064,0.00%,11/9/2018 15:51,1.064,0.00%,11/9/2018 15:51,73,0.0778,77.8,1/19/2019,NA,#REF!,-0.9862,-986.2,2019-JAN-19-017,Y,,,"SDM, SAD (.642)",0.35,Y,C,4,2019-JAN-19-017-C-4,1/19/2019
1590,SEI,1123,Quartz,Mid,Invertebrate,Autochthonous,2018,9,NO,NA,48.82623,-114.118757,5,NA,NA,Filterer-collector-phytoplanktivore,Zooplankton tow,Zooplankton,Pelagic forage Invertebrate,Zooplankton,Zooplankton,NA,NA,2018-50ml-1,50,Water,0.912,FOXTROT-G-08,-30.8,309.93,1.8,25.48,Invertebrate,0.912,1668366,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,-7.382,0.748666667,1345,352,84,9/22/2018,September,Sep,NA,5,NA,NA,13.669,Zooplankton #3,,,1/9/2019 11:20,60,,,,NA,#DIV/0!,,NA,#DIV/0!,1/17/2019 12:00,193,-13.669,-13669,1/19/2019,NA,0,-13.669,-13669,2019-JAN-19-017,Y,,,"SEL, SEI, SEK",0.588,Y,G,8,2019-JAN-19-017-G-8,1/20/2019
1592,SEM,1124,Quartz,Mid,Periphyton,Autochthonous,2018,9,NO,2,48.824672,-114.136037,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2018-15ml-1,15,Water,10.58,FOXTROT-G-09,-18.08,2502.03,-0.97,128.77,Plant,10.58,1668367,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,5.338,-2.021333333,1345,352,84,9/22/2018,September,Sep,NA,0.5,NA,NA,6.942,Periphyton #1,,,1/9/2019 11:20,60,,,,NA,#DIV/0!,,NA,#DIV/0!,1/17/2019 12:00,193,-6.942,-694.2,1/19/2019,NA,0,-6.942,-694.2,2019-JAN-19-017,N,,,NA,10.58,N,C,10,2019-JAN-19-017-C-10,1/19/2019
1593,SEN,1115,Quartz,Mid,Periphyton,Autochthonous,2018,9,NO,2,48.824672,-114.136037,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2018-15ml-1,15,Water,10.104,FOXTROT-G-10,-20.33,2584.36,-0.35,164.82,Plant,10.104,1668368,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,3.088,-1.401333333,1345,352,84,9/22/2018,September,Sep,NA,0.5,NA,NA,6.942,Periphyton #2,,,1/9/2019 11:20,60,,,,NA,#DIV/0!,,NA,#DIV/0!,1/17/2019 12:00,193,-6.942,-694.2,1/19/2019,NA,0,-6.942,-694.2,2019-JAN-19-017,N,,,NA,10.104,N,C,11,2019-JAN-19-017-C-11,1/19/2019
1594,SEO,1116,Quartz,Mid,Periphyton,Autochthonous,2018,9,NO,2,48.824672,-114.136037,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2018-15ml-1,15,Water,10.015,FOXTROT-G-11,-21.21,2142.78,-0.62,129.89,Plant,10.015,1668369,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,2.208,-1.671333333,1345,352,84,9/22/2018,September,Sep,NA,0.5,NA,NA,6.942,Periphyton #3,,,1/9/2019 11:20,60,,,,NA,#DIV/0!,,NA,#DIV/0!,1/17/2019 12:00,193,-6.942,-694.2,1/19/2019,NA,0,-6.942,-694.2,2019-JAN-19-017,N,,,NA,10.015,N,D,3,2019-JAN-19-017-D-3,1/19/2019
1595,SEP,1117,Quartz,Mid,Periphyton,Autochthonous,2018,9,NO,2,48.824672,-114.136037,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2018-15ml-1,15,Water,10.172,FOXTROT-G-12,-17.83,3415.37,-1.21,146.94,Plant,10.172,1668370,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,5.588,-2.261333333,1345,352,84,9/22/2018,September,Sep,NA,0.5,NA,NA,6.942,Periphyton #4,,,1/9/2019 11:20,60,,,,NA,#DIV/0!,,NA,#DIV/0!,1/17/2019 12:00,193,-6.942,-694.2,1/19/2019,NA,0,-6.942,-694.2,2019-JAN-19-017,N,,,NA,10.172,Y,D,1,2019-JAN-19-017-D-1,1/19/2019
1596,SEQ,1125,Quartz,Mid,Periphyton,Autochthonous,2018,9,NO,2,48.824672,-114.136037,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2018-15ml-1,15,Water,10.222,FOXTROT-H-01,-20.47,3628.39,-0.86,235.83,Plant,10.222,1668371,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,2.948,-1.911333333,1345,352,84,9/22/2018,September,Sep,NA,0.5,NA,NA,6.942,Periphyton #5,,,1/9/2019 11:20,60,,,,NA,#DIV/0!,,NA,#DIV/0!,1/17/2019 12:00,193,-6.942,-694.2,1/19/2019,NA,0,-6.942,-694.2,2019-JAN-19-017,N,,,NA,10.222,N,D,2,2019-JAN-19-017-D-2,1/19/2019
1597,SER,1129,Quartz,Mid,Periphyton,Autochthonous,2018,9,NO,2,48.824672,-114.136037,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2018-15ml-1,15,Water,9.626,FOXTROT-H-03,-19.79,1691.42,0.18,92.33,Plant,9.626,1668373,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,3.628,-0.871333333,1345,352,84,9/22/2018,September,Sep,NA,0.5,NA,NA,6.942,Periphyton #6,,,1/9/2019 11:20,60,,,,NA,#DIV/0!,,NA,#DIV/0!,1/17/2019 12:00,193,-6.942,-694.2,1/19/2019,NA,0,-6.942,-694.2,2019-JAN-19-017,N,,,NA,9.626,Y,C,12,2019-JAN-19-017-C-12,1/19/2019
1598,SFA,1130,Quartz,Mid,Invertebrate,Autochthonous,2018,9,YES,6,48.82623,-114.118757,0.5,1,1,Engulfer-predator,D-net,Aeshnidae,Littoral forage Invertebrate,Darner dragonfly,Aeshnidae,NA,NA,2018-15ml-1,15,Ethanol,0.942,FOXTROT-H-06,-22.06,487.44,2.13,103.99,Invertebrate,0.942,1668376,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,1.358,1.078666667,1345,352,84,9/22/2018,September,Sep,NA,0.5,1,NA,6.942,,,,1/9/2019 11:20,60,,,,NA,#DIV/0!,,NA,#DIV/0!,1/17/2019 12:00,193,-6.942,,1/19/2019,NA,0,NA,NA,2019-JAN-19-017,N,,,NA,0.942,N,F,2,2019-JAN-19-017-F-2,1/19/2019
1599,SFB,1131,Quartz,Mid,Periphyton,Autochthonous,2018,9,NO,NA,48.821992,-114.135623,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2018-50ml-1,50,Water,9.929,FOXTROT-H-07,-23.07,1611.17,-0.07,107.72,Plant,9.929,1668377,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,0.348,-1.121333333,1345,352,84,9/28/2018,September,Sep,NA,0.5,NA,NA,13.669,,,,1/9/2019 11:20,60,,,,NA,#DIV/0!,,NA,#DIV/0!,1/17/2019 12:00,193,-13.669,,1/19/2019,NA,0,NA,NA,2019-JAN-19-017,N,,,NA,9.929,N,H,4,2019-JAN-19-017-H-4,1/20/2019
1600,SFC,1132,Quartz,Mid,Periphyton,Autochthonous,2018,9,NO,NA,48.821992,-114.135623,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2018-50ml-1,50,Water,10.109,FOXTROT-H-08,-22.06,2394.6,-0.75,160.39,Plant,10.109,1668378,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,1.358,-1.801333333,1345,352,84,9/28/2018,September,Sep,NA,0.5,NA,NA,13.669,,,,1/9/2019 11:20,60,,,,NA,#DIV/0!,,NA,#DIV/0!,1/17/2019 12:00,193,-13.669,,1/19/2019,NA,0,NA,NA,2019-JAN-19-017,N,,,NA,10.109,N,H,3,2019-JAN-19-017-H-3,1/20/2019
1601,SFD,1133,Quartz,Mid,Periphyton,Autochthonous,2018,9,NO,NA,48.821992,-114.135623,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2018-50ml-1,50,Water,10.05,FOXTROT-H-09,-14.77,2389.04,-1.2,175.68,Plant,10.05,1668379,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,8.648,-2.251333333,1345,352,84,9/28/2018,September,Sep,NA,0.5,NA,NA,13.669,,,,1/9/2019 11:20,60,,,,NA,#DIV/0!,,NA,#DIV/0!,1/17/2019 12:00,193,-13.669,,1/19/2019,NA,0,NA,NA,2019-JAN-19-017,N,,,NA,10.05,N,H,5,2019-JAN-19-017-H-5,1/20/2019
1602,SFE,1167,Quartz,Mid,Periphyton,Autochthonous,2018,9,NO,NA,48.821992,-114.135623,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2018-50ml-1,50,Water,10.061,FOXTROT-H-10,-14.68,2573.7,-0.99,154.63,Plant,10.061,1668380,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,8.738,-2.041333333,1345,352,84,9/28/2018,September,Sep,NA,0.5,NA,NA,13.669,,,,1/9/2019 11:20,60,,,,NA,#DIV/0!,,NA,#DIV/0!,1/17/2019 12:00,193,-13.669,,1/19/2019,NA,0,NA,NA,2019-JAN-19-017,N,,,NA,10.061,N,H,2,2019-JAN-19-017-H-2,1/20/2019
1603,SFF,1155,Quartz,Mid,Invertebrate,Autochthonous,2018,9,NO,NA,48.821992,-114.135623,5,NA,NA,Filterer-collector-phytoplanktivore,Zooplankton tow,Zooplankton,Pelagic forage Invertebrate,Zooplankton,Zooplankton,NA,NA,2018-50ml-2,50,Water,1.066,GOLF-C-08,-27.65,292.05,1.93,23.9,Invertebrate,1.066,1668414,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,-4.232,0.878666667,1345,352,84,9/28/2018,September,Sep,NA,5,NA,NA,13.669,Multiple horizontal tows,,,1/12/2019 17:00,60,,,,NA,#DIV/0!,,NA,#DIV/0!,1/17/2019 12:00,115,-13.669,,1/19/2019,NA,0,NA,NA,2019-JAN-20-018,N,,,NA,1.066,N,C,5,2019-JAN-20-018-C-5,1/20/2019
1604,SFG,1148,Quartz,Mid,Invertebrate,Autochthonous,2018,9,NO,NA,48.821992,-114.135623,5,NA,NA,Filterer-collector-phytoplanktivore,Zooplankton tow,Zooplankton,Pelagic forage Invertebrate,Zooplankton,Zooplankton,NA,NA,2018-50ml-2,50,Water,1.003,GOLF-C-10,-26.16,263.72,0.97,18.03,Invertebrate,1.003,1668416,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,-2.742,-0.081333333,1345,352,84,9/28/2018,September,Sep,NA,5,NA,NA,13.669,Multiple horizontal tows,,,1/12/2019 17:00,60,,,,NA,#DIV/0!,,NA,#DIV/0!,1/17/2019 12:00,115,-13.669,,1/19/2019,NA,0,NA,NA,2019-JAN-20-018,N,,,NA,1.003,N,B,12,2019-JAN-20-018-B-12,1/20/2019
1605,SFH,1149,Quartz,Mid,Invertebrate,Autochthonous,2018,9,NO,NA,48.821992,-114.135623,5,NA,NA,Filterer-collector-phytoplanktivore,Zooplankton tow,Zooplankton,Pelagic forage Invertebrate,Zooplankton,Zooplankton,NA,NA,2018-50ml-2,50,Water,0.959,GOLF-C-11,-26.94,193.34,1.25,15.21,Invertebrate,0.959,1668417,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,-3.522,0.198666667,1345,352,84,9/28/2018,September,Sep,NA,5,NA,NA,13.669,Multiple horizontal tows,,,1/12/2019 17:00,60,,,,NA,#DIV/0!,,NA,#DIV/0!,1/17/2019 12:00,115,-13.669,,1/19/2019,NA,0,NA,NA,2019-JAN-20-018,N,,,NA,0.959,N,C,11,2019-JAN-20-018-C-11,1/20/2019
1606,SZG,1122,Quartz,Mid,Invertebrate,Autochthonous,2018,9,NO,NA,48.82623,-114.118757,5,NA,NA,Filterer-collector-phytoplanktivore,Zooplankton tow,Zooplankton,Pelagic forage Invertebrate,Zooplankton,Zooplankton,NA,NA,2018-50ml-1,50,Water,0.677,FOXTROT-G-07,-32.26,238.45,2.54,19.98,Invertebrate,0.677,1668365,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,-8.842,1.488666667,1345,352,84,9/22/2018,September,Sep,NA,5,NA,NA,13.669,Zooplankton #1,,,1/9/2019 11:20,60,,,,NA,#DIV/0!,,NA,#DIV/0!,1/17/2019 12:00,193,-13.669,-13669,1/19/2019,NA,0,-13.669,-13669,2019-JAN-19-017,Y,,,"SZG, SEH",0.329,Y,G,6,2019-JAN-19-017-G-6,1/20/2019
1607,SZJ,1154,Quartz,Mid,Invertebrate,Autochthonous,2018,9,NO,NA,48.82623,-114.118757,5,NA,NA,Filterer-collector-phytoplanktivore,Zooplankton tow,Zooplankton,Pelagic forage Invertebrate,Zooplankton,Zooplankton,NA,NA,RM,Whirl pak,Water,0.131,GOLF-C-07,-39.22,42.89,2.1,5.3,Invertebrate,0.131,1668413,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,-15.802,1.048666667,1345,352,84,9/22/2018,September,Sep,NA,5,NA,NA,NA,Removed 1/20/19,,,1/9/2019 11:20,60,,,,NA,#DIV/0!,,NA,#DIV/0!,1/17/2019 12:00,193,0,,1/19/2019,NA,,NA,NA,2019-JAN-20-018,N,,,NA,0.131,Y,B,5,2019-JAN-20-018-B-5,1/20/2019
